0 0  -0 1
445001 0.01286821841  0.01248505304 0.9998392533
446001 -0.01370899306  -0.01201988202 0.9998337791
447001 0.01423747841  0.01188994858 0.9998279469
448001 -0.01494630116  -0.01123717336 0.9998251517
449001 0.01502238092  0.01070769448 0.9998298222
450001 -0.01576707551  -0.01063761603 0.9998191039
451001 0.01631559431  0.009744743077 0.9998194044
452001 -0.01623476599  -0.009535974712 0.9998227331
453001 0.01606336847  0.00866354691 0.9998334417
454001 -0.01614716506  -0.007199772271 0.9998437039
455001 0.01642898128  0.005783530458 0.9998483082
456001 -0.01697897376  -0.005352923267 0.9998415178
457001 0.01726924271  0.003870402374 0.9998433843
458001 -0.01756196405  -0.002701374038 0.9998421275
459001 0.01726890794  0.002580590378 0.9998475511
460001 -0.01801208096  -0.002402612528 0.9998348826
461001 0.01866365211  0.001895217052 0.9998240226
462001 -0.01869487032  -0.0006540684362 0.9998250217
463001 0.01913520759  -0.0004583769867 0.9998168001
464001 -0.01893471577  0.001073630683 0.9998201457
465001 0.01909954521  -0.001922543122 0.9998157386
466001 -0.01934614913  0.002873517649 0.9998087164
467001 0.01920067106  -0.004073553492 0.9998073516
468001 -0.01970680349  0.004109326282 0.9997973571
469001 0.01950444026  -0.005167526045 0.999796416
470001 -0.01937072627  0.006319167007 0.9997924
471001 0.01896840619  -0.007166505347 0.9997943992
472001 -0.01893849406  0.008061460803 0.9997881507
473001 0.01834455021  -0.009038010391 0.999790874
474001 -0.01744427268  0.009947977081 0.9997983472
475001 0.01672048991  -0.01101913933 0.9997994818
476001 -0.01575098757  0.01167525892 0.9998077789
477001 0.01552042905  -0.01229684921 0.9998039327
478001 -0.0153116714  0.01236328761 0.9998063322
479001 0.01456319231  -0.01294559945 0.9998101444
480001 -0.01368004484  0.01366388493 0.9998130598
481001 0.01243097628  -0.01441394372 0.9998188381
482001 -0.01178385566  0.01488489843 0.999819774
483001 0.01173278977  -0.0154737445 0.9998114346
484001 -0.01034513599  0.01564696607 0.9998240598
485001 0.009611927017  -0.0161462412 0.9998234393
486001 -0.008751765903  0.01649508645 0.9998256441
487001 0.008086805773  -0.01678480291 0.9998264219
488001 -0.006953421479  0.01756539629 0.9998215375
489001 0.005400655675  -0.01693019807 0.9998420882
490001 -0.004362690867  0.01675567241 0.9998500959
